Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    H       R       
5-14    5       1.3124  -8.56   17.12   8.66    670.53  -152.1  76.57   1.0478  500     
5-15    16      1.2518  -8.86   20.57   8.88    692.06  -128    78.98   1.4453  617.57  
5-16    28      1.21    -9.1    24.18   9       710.71  -112.9  81.09   1.5067  535.01  
5-17    30      1.2095  -8.42   24.85   8.91    694.85  -95.45  75.84   1.4868  500     
5-18    14      1.2631  -8.47   20.12   8.77    682.64  -127.1  75.81   1.6247  564.27  
5-19    13      1.266   -8.55   19.89   8.78    683.01  -129.8  76.46   1.4263  562.16  
5-20    10      1.2768  -8.45   19.21   8.72    678.9   -133.9  75.6    1.7196  514.29  
5-21    8       1.2807  -8.12   18.86   8.59    674.45  -132    72.67   1.1725  1025.8  
5-22    27      1.2255  -8.39   23.21   8.84    690.35  -104.3  75.32   1.2839  514.15  
5-23    23      1.2317  -8.8    22.47   8.93    697.13  -117.2  78.72   1.0677  821.62  
5-24    2       1.3523  -9.1    14.44   8.66    660.81  -170.7  80.75   1.0683  646.24  
5-25    26      1.2259  -8.25   23.01   8.81    687.67  -101.4  74.09   1.6591  576.45  
5-26    4       1.1847  -10.89  16.32   8.83    762.53  -127.1  89.27   1.6698  564.44  
5-27    22      1.2355  -8.15   22.02   8.73    683.85  -105.2  73      1.3146  500     
5-28    11      1.2756  -8.11   19.13   8.58    675.3   -128.9  72.48   1.409   624.88  
5-29    3       1.3521  -8.35   15.49   8.49    658.96  -168.7  75.07   1.4938  563.24  
5-30    18      1.2412  -8.16   21.58   8.71    682.9   -109.1  73.07   1.5962  539.84  
---------------------------------------------------------------------
Average :       1.256   -8.59   20.28   8.745   688.5   -125    76.41   
Optimum :       1.176   -7.91   24.85   9.01    767.2   -85.9   89.27   
 
