Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    R       theta   
4-15    3       29.995  0       0       0       35.154  -221.5  98.5    0.5255  35.919  
4-16    5       10.974  0       0       0       100.49  207.36  99.2    0.6     45.228  
4-17    10      6.9447  0       0       0       60.576  123.7   98.8    0.6     35.797  
4-18    6       11.706  0       0       0       65.963  -179    99.18   0.5201  50      
4-19    30      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
4-20    11      5.381   0       0       0       70.298  110.11  99.01   0.5906  40.049  
4-21    16      2.5518  0       0       0       70.06   -53.88  99.2    0.5483  47.411  
4-22    17      2.5518  0       0       0       70.06   -53.88  99.2    0.5483  47.411  
4-23    19      2.3798  0       0       0       65.003  48.735  99.02   0.5774  40.949  
4-24    14      4.4375  0       0       0       77.067  97.612  99.12   0.5835  43.284  
4-25    2       97.817  0       0       0       44.714  -462.8  98.55   0.472   43.967  
4-26    29      1.2874  0       0       0       50.059  12.671  98.78   0.5771  36.211  
4-27    20      2.4048  0       0       0       53.937  46.879  98.81   0.5839  36.421  
4-28    27      1.5851  0       0       0       53.979  23.812  98.85   0.5775  37.469  
4-29    25      1.6441  0       0       0       81.584  -5.629  99.28   0.555   50      
4-30    28      1.2533  0       0       0       42.155  6.8082  98.55   0.5812  32.872  
---------------------------------------------------------------------
Average :       15.9    0       0       0       63.31   -41.8   98.95   
Optimum :       1.074   0       0       0       50.06   -1.14   99.29   
 
5-1     2       7.1903  0       0       0       62.54   128.48  98.84   0.6     36.324  
5-2     25      1.2345  0       0       0       49.142  10.425  98.76   0.5772  35.894  
5-3     17      1.9329  0       0       0       75.352  -32.46  99.24   0.5511  48.703  
5-4     22      1.4739  0       0       0       62.444  -17.91  99.06   0.5615  42.735  
5-5     4       5.5789  0       0       0       73.982  115.44  99.05   0.5899  41.143  
5-6     14      2.0676  0       0       0       65.044  39.577  99.04   0.575   41.367  
5-7     28      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
5-8     10      2.5518  0       0       0       70.06   -53.88  99.2    0.5483  47.411  
5-9     6       4.1309  0       0       0       70.529  89.145  99.05   0.585   41.124  
5-10    23      1.5122  0       0       0       55.867  21.218  98.9    0.5756  38.371  
5-11    11      2.5009  0       0       0       71.271  -52.51  99.21   0.5481  47.863  
5-12    19      1.8288  0       0       0       47.131  29.613  98.67   0.5838  34.281  
5-13    1       33.548  0       0       0       36.767  -240.6  98.56   0.52    37.198  
5-14    27      1.1208  0       0       0       50.548  5.71    98.8    0.5749  36.692  
5-15    3       6.0476  0       0       0       92.895  133.15  99.24   0.585   46.897  
5-16    16      2.0991  0       0       0       59.271  -40.24  99.03   0.5574  42.266  
5-17    26      1.1193  0       0       0       48.349  5.2915  98.75   0.5763  35.736  
5-18    5       4.2082  0       0       0       92.221  97.444  99.28   0.5761  48.774  
5-19    29      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
5-20    7       4.2345  0       0       0       55.674  -82.74  99.01   0.5485  42.248  
5-21    9       2.5652  0       0       0       70.17   -54.26  99.2    0.5482  47.472  
5-22    12      2.4049  0       0       0       71.104  -49.72  99.21   0.5488  47.678  
5-23    30      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
5-24    13      2.0981  0       0       0       64.864  -40.53  99.12   0.5543  44.675  
5-25    20      1.5851  0       0       0       53.979  23.812  98.85   0.5775  37.469  
5-26    24      1.2874  0       0       0       50.059  12.671  98.78   0.5771  36.211  
5-27    8       3.1126  0       0       0       74.766  -68.9   99.26   0.5423  50      
5-28    15      2.2014  0       0       0       38.166  33.334  98.33   0.592   30      
5-29    18      1.6957  0       0       0       80.519  -14.75  99.28   0.5532  50      
5-30    21      1.5851  0       0       0       53.979  23.812  98.85   0.5775  37.469  
---------------------------------------------------------------------
Average :       3.538   0       0       0       61.23   0.574   98.96   
Optimum :       1.074   0       0       0       50.06   -1.14   99.28   
 
6-1     12      2.2014  0       0       0       38.166  33.334  98.33   0.592   30      
6-2     25      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
6-3     26      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
6-4     27      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
6-5     13      2.0037  0       0       0       62.993  37.613  99.01   0.5757  40.628  
6-6     6       3.2428  0       0       0       75.782  72.201  99.14   0.5776  44.04   
6-7     18      1.4759  0       0       0       36.45   9.8013  98.31   0.5869  30      
6-8     7       3.0061  0       0       0       51.105  58.477  98.72   0.589   34.771  
6-9     1       94.95   0       0       0       29.912  -372.3  98.11   0.4937  35.25   
6-10    2       24.43   0       0       0       34.813  -197.2  98.49   0.5317  35.25   
6-11    28      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
6-12    29      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
6-13    9       2.4347  0       0       0       60.94   49.56   98.95   0.58    39.286  
6-14    24      1.1743  0       0       0       42.863  2.1211  98.59   0.5794  33.366  
6-15    8       2.4049  0       0       0       71.104  -49.72  99.21   0.5488  47.678  
6-16    10      2.0676  0       0       0       65.044  39.577  99.04   0.575   41.367  
6-17    5       3.2888  0       0       0       81.564  74.161  99.2    0.5752  46.108  
6-18    3       7.8971  0       0       0       36.702  -104.3  98.52   0.5548  33.817  
6-19    19      1.3426  0       0       0       50.613  14.862  98.79   0.5774  36.369  
6-20    14      1.6577  0       0       0       48.593  25.14   98.72   0.5815  35.092  
6-21    11      1.9265  0       0       0       83.52   27.148  99.27   0.5623  49.183  
6-22    4       5.3268  0       0       0       52.031  -95.6   98.95   0.5473  41.024  
6-23    30      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
6-24    15      1.5851  0       0       0       53.979  23.812  98.85   0.5775  37.469  
6-25    20      1.2874  0       0       0       50.059  12.671  98.78   0.5771  36.211  
6-26    16      1.5851  0       0       0       53.979  23.812  98.85   0.5775  37.469  
6-27    17      1.5251  0       0       0       52.819  21.667  98.83   0.5777  37.057  
6-28    22      1.224   0       0       0       52.117  10.116  98.83   0.5751  37.208  
6-29    23      1.2345  0       0       0       49.142  10.425  98.76   0.5772  35.894  
6-30    21      1.2874  0       0       0       50.059  12.671  98.78   0.5771  36.211  
---------------------------------------------------------------------
Average :       5.9     0       0       0       52.16   -8.89   98.78   
Optimum :       1.074   0       0       0       50.06   -1.14   99.27   
 
7-1     11      2.26    0       0       0       39.44   -35.69  98.53   0.5715  33.046  
7-2     7       2.6119  0       0       0       89.237  53.841  99.3    0.5665  50      
7-3     14      2.0037  0       0       0       62.993  37.613  99.01   0.5757  40.628  
7-4     27      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
7-5     15      2.0037  0       0       0       62.993  37.613  99.01   0.5815  48.412  
7-6     6       3.2428  0       0       0       75.782  72.201  99.14   0.5775  37.469  
7-7     20      1.4759  0       0       0       36.45   9.8013  98.31   0.5757  35.25   
7-8     8       3.0061  0       0       0       51.105  58.477  98.72   0.5757  35.25   
7-9     1       94.95   0       0       0       29.912  -372.3  98.11   0.575   41.367  
7-10    2       24.43   0       0       0       34.813  -197.2  98.49   0.5752  46.108  
7-11    28      1.0743  0       0       0       46.73   -1.141  98.71   0.5772  36.212  
7-12    29      1.0743  0       0       0       46.73   -1.141  98.71   0.5773  36.367  
7-13    10      2.4347  0       0       0       60.94   49.56   98.95   0.5726  30      
7-14    26      1.1743  0       0       0       42.863  2.1211  98.59   0.5654  50      
7-15    9       2.4049  0       0       0       71.104  -49.72  99.21   0.5757  35.009  
7-16    12      2.0676  0       0       0       65.044  39.577  99.04   0.5756  39.113  
7-17    5       3.2888  0       0       0       81.564  74.161  99.2    0.5762  32.164  
7-18    3       7.8971  0       0       0       36.702  -104.3  98.52   0.5804  37.095  
7-19    21      1.3426  0       0       0       50.613  14.862  98.79   0.5741  30      
7-20    16      1.6577  0       0       0       48.593  25.14   98.72   0.5884  43.718  
7-21    13      1.9265  0       0       0       83.52   27.148  99.27   0.5757  35.25   
7-22    4       5.3268  0       0       0       52.031  -95.6   98.95   0.5757  35.25   
7-23    30      1.0743  0       0       0       46.73   -1.141  98.71   0.5757  35.25   
7-24    17      1.5851  0       0       0       53.979  23.812  98.85   0.5855  31.755  
7-25    22      1.2874  0       0       0       50.059  12.671  98.78   0.5772  35.894  
7-26    18      1.5851  0       0       0       53.979  23.812  98.85   0.5757  35.25   
7-27    19      1.5251  0       0       0       52.819  21.667  98.83   0.5763  33.241  
7-28    24      1.224   0       0       0       52.117  10.116  98.83   0.5788  38.827  
7-29    25      1.2345  0       0       0       49.142  10.425  98.76   0.5861  30.909  
7-30    23      1.2874  0       0       0       50.059  12.671  98.78   0.5765  34.341  
---------------------------------------------------------------------
Average :       5.984   0       0       0       54.16   -8.07   98.81   
Optimum :       1.074   0       0       0       50.06   -1.14   99.3    
 
