Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       S       L2      
6-17    16      1.4055  9.89    16.86   2.18    131.12  36.774  3063    86.778  11.615  90.785  
6-18    2       10.092  10.32   15.41   2.23    191.11  411.18  2986    95.805  17.57   89.964  
6-19    28      2.903   10.27   27.32   2.34    124.74  131.4   3007    89.148  13.468  90.114  
6-20    12      2.541   9.85    16.22   2.03    171.91  120.02  3092    89.326  14.404  91.424  
6-21    6       1.8814  9.75    14.29   2.07    151.59  73.774  3083    87.873  12.118  91.272  
6-22    27      1.4253  10.23   23.28   2.51    80.102  11.002  2926    86.118  10.711  89.533  
6-23    30      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
6-24    19      9.2095  10.13   25.1    2.12    187.88  385.01  2989    95.054  14.949  90.606  
6-25    7       5.9052  9.99    17.7    2.25    134.88  -247    3183    80.424  14.92   91.189  
6-26    20      2.1871  10.01   19.87   2.02    181.12  91.068  3109    88.998  17.622  91.195  
6-27    9       6.9081  10.03   19.94   1.93    225.41  338.68  3062    94.785  18.414  91.074  
6-28    13      9.0046  10.07   21.85   2       217.2   402.53  3022    95.767  16.656  90.883  
6-29    14      2.7598  9.88    16.73   2.08    161.93  133.63  3073    89.422  13.386  91.2    
6-30    15      2.7598  9.88    16.73   2.08    161.93  133.63  3073    89.422  13.386  91.2    
---------------------------------------------------------------------
Average :       3.671   10.13   19.33   2.24    146.9   117.4   3044    
Optimum :       1.283   10.44   29.45   2.65    109     11      3062    
 
7-1     20      2.7463  10.03   22.46   2.26    118.94  121.42  2995    88.683  11.236  90.326  
7-2     5       2.6154  10.42   14.68   2.53    108.97  110.31  2983    88.815  14.488  89.533  
7-3     9       1.5904  10.41   15.03   2.59    93.192  43.978  2967    87.18   13.387  89.43   
7-4     26      3.4852  10.25   29.23   2.35    120.27  154.28  2983    89.621  12.822  90.058  
7-5     6       2.6027  9.86    16.35   2.06    162.8   124.15  3078    89.228  13.451  91.256  
7-6     22      2.714   10.15   26.42   2.2     148.55  129.13  3053    89.257  14.422  90.602  
7-7     27      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
7-8     3       9.5294  9.8     16.41   1.99    196.09  400.75  2994    95.311  12.806  91.189  
7-9     16      7.7415  10.26   23.44   2.3     142.96  305.02  2951    93.118  13.691  90.076  
7-10    10      3.1112  9.94    18.36   2.01    183.23  155.97  3090    90.349  15.959  91.324  
7-11    13      1.4055  9.89    16.86   2.18    131.12  36.774  3063    86.778  11.615  90.785  
7-12    18      1.8502  10.35   20.76   2.39    121.71  72.328  3029    87.856  14.509  89.974  
7-13    8       2.7598  9.88    16.73   2.08    161.93  133.63  3073    89.422  13.386  91.2    
7-14    19      1.7579  10.35   20.81   2.39    121.18  65.962  3031    87.705  14.509  89.974  
7-15    30      1.5835  10.22   29.89   2.43    95.14   44.799  2968    86.922  11.4    89.812  
7-16    11      1.1222  9.81    15.55   2.21    114.35  12.841  3037    85.974  10.093  90.505  
7-17    15      2.2308  10.07   19.73   2.08    166.68  -98.43  3142    84.644  20      90.977  
7-18    1       13.718  9.59    14      2       176.97  479.04  2906    96.479  10      90.908  
7-19    24      2.0716  10.17   26.55   2.22    145.52  88.946  3065    88.33   14.619  90.6    
7-20    4       9.4258  10.3    18.78   2.3     156.3   360.4   2949    94.428  14.838  89.981  
7-21    21      1.825   10.1    21.41   2.09    172.04  59.846  3109    88.159  17.693  90.964  
7-22    14      11.361  10.2    25.12   2.29    146.79  392.6   2902    94.922  12.971  90.054  
7-23    28      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
7-24    12      2.2338  9.92    17.67   2.09    160.11  99.529  3084    88.674  13.937  91.168  
7-25    29      2.41    10.25   29.45   2.39    108.11  99.867  2980    88.297  12.249  89.944  
7-26    7       6.2922  10.03   19.27   2.15    152.87  -273    3192    80.424  19.991  91.189  
7-27    25      1.6352  10.29   26.85   2.38    116.73  56.598  3025    87.376  13.459  90.062  
7-28    17      3.0619  10.33   21.16   2.36    129.73  140.92  3014    89.476  14.518  90.026  
7-29    2       10.752  9.86    17.59   1.85    255.15  481.94  3030    97.71   16.775  91.468  
