Sel: Roul-wheel	Xov: Blend-X prob:70	Mut: Uniform prob:4

Run     Rank    SWR     Gain    F/B     F/R     R-a     X-a     Eff.    L       R       
5-19    7       1.4027  0       0       0       39.663  11.064  99.15   1.0529  0.3769  
5-20    16      1.3319  0       0       0       39.147  6.6433  99.14   1.0488  0.3753  
5-21    15      1.34    0       0       0       38.898  6.6707  99.14   1.0494  0.357   
5-22    26      1.3089  0       0       0       38.202  -0.244  99.13   1.0427  0.3622  
5-23    4       1.462   0       0       0       39.727  13.582  99.14   1.0557  0.363   
5-24    21      1.3231  0       0       0       38.031  -2.6    99.13   1.0414  0.3081  
5-25    2       1.5008  0       0       0       39.929  15.239  99.14   1.0572  0.3644  
5-26    11      1.3657  0       0       0       39.176  8.6412  99.14   1.0511  0.3627  
5-27    25      1.287   0       0       0       39.082  2.4122  99.15   1.0442  0.393   
5-28    18      1.3265  0       0       0       38.755  5.4128  99.13   1.0483  0.3564  
5-29    19      1.3265  0       0       0       38.755  5.4128  99.13   1.0483  0.3564  
5-30    3       1.4715  0       0       0       39.723  13.946  99.14   1.0562  0.3589  
---------------------------------------------------------------------
Average :       1.356   0       0       0       39.22   4.462   99.15   
Optimum :       1.184   0       0       0       43.07   -0.24   99.24   
 
6-1     30      1.1467  0       0       0       43.979  2.2437  99.25   1.0389  0.5     
6-2     14      1.3328  0       0       0       38.164  -4.302  99.14   1.0382  0.385   
6-3     22      1.2986  0       0       0       38.717  -2.362  99.15   1.0395  0.3985  
6-4     12      1.3265  0       0       0       38.755  5.4128  99.13   1.0483  0.3564  
6-5     20      1.3045  0       0       0       38.677  3.0369  99.14   1.0456  0.3708  
6-6     15      1.3095  0       0       0       39.601  6.0576  99.15   1.0474  0.3975  
6-7     1       1.5901  0       0       0       41.447  19.511  99.17   1.0595  0.4078  
6-8     11      1.3421  0       0       0       37.714  -3.678  99.13   1.0399  0.3492  
6-9     21      1.2926  0       0       0       39.311  3.994   99.15   1.0456  0.3952  
6-10    16      1.3185  0       0       0       38.488  -3.94   99.15   1.0381  0.3964  
6-11    5       1.404   0       0       0       37.513  -7.883  99.13   1.0364  0.3044  
6-12    2       1.4516  0       0       0       38.092  -11.21  99.15   1.0307  0.4087  
6-13    25      1.3087  0       0       0       38.21   -0.296  99.13   1.0427  0.3633  
6-14    10      1.3274  0       0       0       38.751  5.4659  99.13   1.0483  0.3553  
6-15    4       1.3957  0       0       0       40.401  11.596  99.16   1.0523  0.403   
6-16    7       1.3888  0       0       0       37.381  -6.649  99.12   1.0371  0.3464  
6-17    8       1.3509  0       0       0       39.073  7.6616  99.14   1.0502  0.3631  
6-18    29      1.1836  0       0       0       43.072  -3.656  99.24   1.0336  0.4966  
6-19    3       1.4451  0       0       0       40.91   14.065  99.17   1.0543  0.4102  
6-20    9       1.3275  0       0       0       39.399  6.8399  99.15   1.0486  0.3864  
6-21    17      1.3231  0       0       0       38.031  -2.6    99.13   1.0414  0.3081  
6-22    26      1.3089  0       0       0       38.202  -0.244  99.13   1.0427  0.3622  
6-23    6       1.404   0       0       0       37.513  -7.883  99.13   1.0364  0.3044  
6-24    13      1.3265  0       0       0       38.755  5.4128  99.13   1.0483  0.3564  
6-25    24      1.3101  0       0       0       38.211  1.1349  99.13   1.0446  0.3439  
6-26    23      1.3075  0       0       0       38.32   1.463   99.13   1.0451  0.3207  
6-27    19      1.3222  0       0       0       37.933  -1.809  99.13   1.0416  0.3519  
6-28    28      1.2689  0       0       0       39.574  2.0164  99.16   1.0431  0.4103  
6-29    27      1.2971  0       0       0       38.548  -5.e-3  99.14   1.0423  0.3815  
6-30    18      1.3076  0       0       0       38.661  3.3663  99.14   1.046   0.3674  
---------------------------------------------------------------------
Average :       1.334   0       0       0       39.05   1.425   99.15   
Optimum :       1.147   0       0       0       43.98   -5e-3   99.25   
 
7-1     29      1.1467  0       0       0       43.979  2.2437  99.25   1.0389  0.5     
7-2     14      1.3124  0       0       0       38.755  4.2039  99.14   1.0468  0.3676  
7-3     13      1.3185  0       0       0       38.488  -3.94   99.15   1.0381  0.3964  
7-4     23      1.2971  0       0       0       38.548  -5.e-3  99.14   1.0423  0.3815  
7-5     15      1.3231  0       0       0       38.031  -2.6    99.13   1.0414  0.3081  
7-6     24      1.2689  0       0       0       39.574  2.0164  99.16   1.0431  0.4103  
7-7     26      1.1836  0       0       0       43.072  -3.656  99.24   1.0336  0.4966  
7-8     11      1.3095  0       0       0       39.601  6.0576  99.15   1.0474  0.3975  
7-9     8       1.3052  0       0       0       42.179  9.4537  99.2    1.0479  0.4529  
7-10    3       1.3683  0       0       0       37.623  -5.769  99.13   1.0375  0.3633  
7-11    21      1.3087  0       0       0       38.21   -0.296  99.13   1.0427  0.3633  
7-12    16      1.3231  0       0       0       38.031  -2.6    99.13   1.0414  0.3081  
7-13    27      1.1836  0       0       0       43.072  -3.656  99.24   1.0336  0.4966  
7-14    4       1.3274  0       0       0       38.751  5.4659  99.13   1.0483  0.3553  
7-15    1       1.4586  0       0       0       37.683  -10.95  99.14   1.0316  0.3941  
7-16    10      1.3243  0       0       0       38.512  -4.576  99.15   1.0373  0.3996  
7-17    6       1.3328  0       0       0       38.164  -4.302  99.14   1.0382  0.385   
7-18    25      1.2689  0       0       0       39.574  2.0164  99.16   1.0431  0.4103  
7-19    30      1.1467  0       0       0       43.979  2.2437  99.25   1.0389  0.5     
7-20    19      1.3075  0       0       0       38.32   1.463   99.13   1.0451  0.3207  
7-21    17      1.3141  0       0       0       38.477  3.4146  99.13   1.0467  0.3341  
7-22    22      1.2592  0       0       0       40.72   4.7438  99.18   1.0446  0.4327  
7-23    28      1.1836  0       0       0       43.072  -3.656  99.24   1.0336  0.4966  
7-24    12      1.3095  0       0       0       39.601  6.0576  99.15   1.0474  0.3975  
7-25    7       1.3126  0       0       0       40.228  7.3672  99.17   1.048   0.4122  
7-26    2       1.3828  0       0       0       37.479  -6.464  99.13   1.037   0.3571  
7-27    5       1.3265  0       0       0       38.755  5.4128  99.13   1.0483  0.3564  
7-28    20      1.3101  0       0       0       38.211  1.1349  99.13   1.0446  0.3439  
7-29    9       1.3368  0       0       0       37.783  -3.329  99.13   1.0401  0.3536  
7-30    18      1.3119  0       0       0       38.415  2.8706  99.13   1.046   0.3421  
---------------------------------------------------------------------
Average :       1.295   0       0       0       39.56   0.346   99.16   
Optimum :       1.147   0       0       0       43.98   -5e-3   99.25   
 
8-1     10      1.3243  0       0       0       38.512  -4.576  99.15   1.0373  0.3996  
8-2     19      1.3075  0       0       0       38.32   1.463   99.13   1.0451  0.3207  
8-3     18      1.3082  0       0       0       38.346  1.8376  99.13   1.0455  0.3223  
8-4     23      1.2649  0       0       0       40.21   3.9604  99.17   1.0444  0.4221  
8-5     14      1.3231  0       0       0       38.031  -2.6    99.13   1.0345  0.4998  
8-6     25      1.2689  0       0       0       39.574  2.0164  99.16   1.038   0.4968  
8-7     27      1.1836  0       0       0       43.072  -3.656  99.24   1.0414  0.3081  
8-8     12      1.3095  0       0       0       39.601  6.0576  99.15   1.0423  0.3815  
8-9     8       1.3052  0       0       0       42.179  9.4537  99.2    1.0396  0.4152  
8-10    3       1.3683  0       0       0       37.623  -5.769  99.13   1.0363  0.4418  
8-11    22      1.3087  0       0       0       38.21   -0.296  99.13   1.0436  0.362   
8-12    15      1.3231  0       0       0       38.031  -2.6    99.13   1.0391  0.4557  
8-13    28      1.1836  0       0       0       43.072  -3.656  99.24   1.0414  0.3081  
